,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,"Low birthweight
(%)
2015","Unweighed at birth
(%)
20102018*","Early
initiation
of breastfeeding
(%)","Exclusive
breastfeeding
(<6 months) 
(%)","Introduction
to solid,
semi-solid or
soft foods 
(68 months)
(%)",All children,"Poorest 
20%","Richest 
20%","Minimum diet diversity 
(623 months)
(%)","Minimum meal frequency 
(623 months)
(%)","Minimum acceptable diet 
(623 months)
(%)","Zero vegetable or fruit consumption (623 months)
(%)",,,,,,,,,
,Nauru,,4,76,67,,67,,,,,,,,,,,,,,,
,Nepal,22,39,55,65,84,94,97,91,45,71,36,38,,,,,,,,,
,Netherlands,6,6,,,,,,,,,,,,,,,,,,,
,New Zealand,6,8,,,,,,,,,,,,,,,,,,,
,Nicaragua,11,8,54,32,89,52,64,28,,,,,,,,,,,,,
,Niger,,77,53,23,62,78,85,71,8,51,6,67,,,,,,,,,
,Nigeria,,75,33,25,66,51,80,48,34,46,15,32,,,,,,,,,
,Niue,,,,,,,,,,,,,,,,,,,,,
,North Macedonia,9,4,21,23,87,27,25,26,,65,,,,,,,,,,,
,Norway,4,3,,,,,,,,,,,,,,,,,,,
,Oman,11,0,82,23,95,,,,,65,,,,,,,,,,,
,Pakistan,,84,20,47,65,63,75,52,15,63,13,61,,,,,,,,,
,Palau,,,,,,,,,,,,,,,,,,,,,
,Panama,10,9,47,21,78,41,57,18,,64,,,,,,,,,,,
,Papua New Guinea,,,,56,,,,,,,,,,,,,,,,,
,Paraguay,8,2,50,30,87,33,41,43,52,75,40,16,,,,,,,,,
,Peru,9,5,50,66,95,65,69,53,83,,,7,,,,,,,,,
,Philippines,20,16,57,33,89,60,68,49,54,,,22,,,,,,,,,
,Poland,6,0,,,,,,,,,,,,,,,,,,,
,Portugal,9,0,,,,,,,,,,,,,,,,,,,
,Qatar,7,2,34,29,74,47,,,,49,,,,,,,,,,,
,Republic of Korea,6,2,,,,,,,,,,,,,,,,,,,
,Republic of Moldova,5,1,61,36,75,27,44,22,70,49,,10,,,,,,,,,
,Romania,8,2,58,16,,,,,,,,,,,,,,,,,
,Russian Federation,6,0,25,,,,,,,,,,,,,,,,,,
,Rwanda,8,8,80,87,57,91,94,81,28,47,18,25,,,,,,,,,
,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,
,Saint Lucia,,0,50,3,,29,,,,50,,,,,,,,,,,
,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,
,Samoa,,24,81,70,74,73,,,,,,,,,,,,,,,
,San Marino,3,2,,,,,,,,,,,,,,,,,,,
,Sao Tome and Principe,7,7,38,72,74,51,65,46,37,60,23,27,,,,,,,,,
